id,dealership,dealership_name,administrator,action
683,Gabtype,Bluezoom,Rubia,false
684,Yodoo,Linkbuzz,Jessi,false
685,Brainsphere,Voonte,Marijn,false
686,Oyoba,Devpulse,Wylma,true
687,Realblab,Camimbo,Ulla,false
688,Oyondu,Kwilith,Clywd,false
689,Babbleset,Zoombeat,Crawford,true
690,Zoomdog,Tagopia,Brendon,false
691,Twitterlist,Quire,Ianthe,false
692,Photojam,Yodo,Loleta,false
693,Topicware,Youspan,Dinah,true
694,Shufflester,Linktype,Jessalin,false
695,Yadel,Midel,Dyanne,true
696,Thoughtstorm,Yodoo,Luce,false
697,Photofeed,Brainbox,Marga,true
698,Skidoo,Trunyx,Mariette,false
699,Bluezoom,Tagopia,Abrahan,true
700,Quimba,Einti,Starr,true
701,Demimbu,Jabberstorm,Brana,true
702,Mycat,Dabshots,Stewart,true
703,Oodoo,Brightdog,Omar,true
704,Vinte,Fiveclub,Minne,true
705,LiveZ,Kwideo,Nari,true
706,Demimbu,LiveZ,Kendra,true
707,Rhybox,Divavu,Marissa,true
708,Wordify,Tagtune,Cordy,false
709,Trupe,Gigaclub,Angelle,true
710,Edgeblab,Twitterlist,Corette,true
711,Pixope,Roombo,Ina,false
712,Zava,Meedoo,Louisette,false
713,Layo,Einti,Amandi,true
714,Feedmix,Ooba,Stoddard,true
715,Thoughtstorm,Jabbercube,Salim,true
716,Ooba,Abatz,Hermann,true
717,Thoughtmix,Jamia,Deny,false
718,Skipstorm,Rhybox,Ardelis,true
719,Jabbertype,Yombu,Malinde,true
720,Quinu,Gabspot,Temp,true
721,Pixonyx,Riffpath,Binni,true
722,Twiyo,Oodoo,Bordie,true
723,Dynabox,Kaymbo,Ruddy,true
724,Omba,Eare,Persis,true
725,Quinu,Dynabox,Harcourt,false
726,Quaxo,Devshare,Nara,false
727,Riffwire,BlogXS,Martina,false
728,Jetpulse,Avaveo,Tabb,false
729,Mydeo,Skynoodle,Katy,true
730,Eamia,Photojam,Brandise,false
731,Mycat,Twitterbridge,Wilburt,true
732,Mynte,Skinte,Verney,false
733,Npath,Dablist,Conney,false
734,Fivebridge,Demizz,Lia,false
735,Aimbo,Leexo,Towny,false
736,Flipbug,Zoozzy,Lesli,true
737,Cogibox,Jetwire,Tonie,false
738,Tagpad,Oyondu,Dulcia,true
739,Tagpad,Lazzy,Francklin,true
740,Vitz,Eayo,Ardisj,false
741,Agimba,Linkbridge,Roosevelt,false
742,Katz,Skinte,Cam,true
743,Agimba,BlogXS,Kylen,false
744,Katz,Oyoloo,Kenny,true
745,Voonix,Wikivu,Beaufort,false
746,Edgeclub,Linklinks,Tony,false
747,Mybuzz,Yakitri,Gale,true
748,Skilith,Gabtype,Dwayne,true
749,Leexo,Mydeo,Gilbert,true
750,Voonder,Quimm,Myrta,true
751,Devshare,Feedbug,Hermine,true
752,Ntags,Skaboo,Daryl,true
753,Npath,Dabfeed,Yasmin,false
754,Divape,Quinu,Brittan,false
755,Skimia,Jetwire,Kip,true
756,Topiclounge,Tagpad,Frederich,true
757,Thoughtstorm,Abatz,Elias,false
758,Linktype,Livepath,Georgeta,false
759,Wikido,Bubblemix,Germana,false
760,Aimbu,Snaptags,Auria,true
761,Dabjam,Skibox,Emanuele,false
762,Wordtune,Youopia,Cosimo,false
763,Edgeblab,Oodoo,Kordula,false
764,Oyoba,Ntags,Kelley,false
765,Wikizz,Dabjam,Marlow,false
766,Gabvine,Bubbletube,Cecilio,false
767,Dabfeed,Vidoo,Gabie,true
768,Realfire,Blogtags,Arluene,false
769,Avamm,Jaxspan,Wes,true
770,Kwinu,Bluejam,Shay,true
771,Yodoo,Kayveo,Bevvy,true
772,Tagtune,Oyoba,Alisha,false
773,Oyoloo,Avavee,Sheppard,true
774,Latz,Twitterlist,Vanda,false
775,Edgewire,Miboo,Danella,false
776,Chatterbridge,Cogilith,Hamil,true
777,Kwideo,Gigazoom,Issy,true
778,Youbridge,Trilia,Christi,true
779,Quinu,InnoZ,Maggee,false
780,Realbridge,Mita,Efren,false
781,Eamia,Cogilith,Randi,true
782,Agivu,Realcube,Ingrim,false
783,Oyonder,Wikizz,Giacobo,false
784,Digitube,Kazio,Lamont,true
785,Skipfire,Riffpath,Perrine,true
786,Npath,Roombo,Moise,true
787,Oyoba,Yodo,Seymour,true
788,Devcast,Babbleset,Rafa,true
789,Realblab,Mymm,Ronnie,false
790,Eamia,Agivu,Hughie,false
791,Trudoo,Twinder,Dana,false
792,Photobug,Photofeed,Horton,true
793,Abatz,Photofeed,Marna,false
794,Ntags,Izio,Gabey,false
795,Photobean,Fivebridge,Valerye,true
796,Eire,Brightbean,Abey,false
797,Ailane,Tavu,Dominick,true
798,Dazzlesphere,Minyx,Karola,true
799,Tagopia,Fatz,Matthus,true
800,Mudo,Devpoint,Giles,true
801,Youspan,Realbuzz,Nana,true
802,Pixoboo,Livetube,Pietra,true
803,Plajo,Trudoo,Adora,false
804,Mudo,Gevee,Walker,false
805,Izio,Youopia,Jose,false
806,Midel,Meembee,Patrice,true
807,Twimm,Rhynyx,Meg,false
808,Kare,Meevee,Bowie,true
809,Jaxspan,Tagpad,Adrianna,false
810,Zoombeat,Chatterbridge,Guthrey,false
811,Centidel,Kwilith,Falito,true
812,Cogidoo,Meevee,Joanna,false
813,Vitz,Yoveo,Cirstoforo,false
814,Skipstorm,Quinu,Lotte,false
815,Jaxbean,Nlounge,Berny,true
816,Gabvine,Brightbean,Bobinette,false
817,LiveZ,Skinte,Eleanor,true
818,Npath,Tagfeed,Dacy,false
819,Flashset,Thoughtsphere,Ricky,false
820,Katz,Meetz,Nichol,true
821,Vinte,Demizz,Vincenty,true
822,Jabberbean,Skyba,Jimmie,true
823,Pixoboo,Einti,Courtnay,false
824,Mita,Meevee,Alicia,true
825,Shufflebeat,Zoomdog,Cinderella,false
826,Twitterbeat,Meevee,Angela,true
827,Gabcube,Tavu,Danit,false
828,Leenti,Wikizz,Erskine,true
829,Jabberbean,Dabfeed,Engracia,false
830,Blogtags,Miboo,Jacquenette,true
831,Shuffledrive,Midel,Giusto,false
832,Oyoloo,Mybuzz,Ignaz,true
833,Quaxo,Twimbo,Sherline,true
834,Buzzster,Skajo,Ethelind,false
835,Katz,Omba,Barris,false
836,Leexo,Latz,Carlota,true
837,Twinte,Realmix,Daune,false
838,Janyx,Dabtype,Garald,true
839,Meeveo,Yamia,Lemar,true
840,Avaveo,Zazio,Brooks,false
841,Photobug,Centidel,Sophronia,false
842,Realcube,Realcube,Trixi,true
843,Wordify,Gabtype,Neill,true
844,Eamia,Kanoodle,Skelly,false
845,Mycat,Latz,Dorice,false
846,Edgepulse,Shufflester,Hakim,false
847,Tagpad,Yambee,Harper,true
848,Photolist,Jatri,Sibel,false
849,Browsecat,Zoomzone,Dave,false
850,Podcat,Jabbertype,Sinclare,false
851,Babbleblab,Kamba,Arty,true
852,Buzzster,Voonix,Avrom,false
853,Divape,Tazzy,Jannel,false
854,Jabbersphere,Skipstorm,Burt,true
855,Eazzy,Quimba,Shadow,true
856,Aimbu,Bubbletube,Wilek,true
857,Twinte,Twimbo,Lizette,true
858,Dynabox,Jaxnation,Roscoe,true
859,Divape,Zoomzone,Ninetta,true
860,Realbridge,Oyoyo,Libbi,false
861,Fivespan,Buzzdog,Marwin,false
862,Jazzy,Devshare,Berkley,false
863,Tambee,InnoZ,Tyrone,true
864,Midel,Myworks,Annie,false
865,Yodoo,Mydo,Gordon,true
866,Katz,Jatri,Aaron,false
867,Gevee,Livetube,Jasmina,false
868,Dabjam,Centidel,Merrile,true
869,Quaxo,Blognation,Evelyn,true
870,Dabshots,Edgewire,Amelia,false
871,Dablist,Dazzlesphere,Skippy,false
872,Digitube,Tavu,Shantee,false
873,Ainyx,Oodoo,Lorelei,false
874,Fadeo,Devshare,Shannon,true
875,Jabbertype,Browsecat,Moria,true
876,Ntag,Topdrive,Roseann,true
877,Rooxo,Skinder,Catlaina,false
878,Linktype,Oyoloo,Cliff,false
879,Cogilith,Agimba,Etheline,true
880,Thoughtworks,Janyx,Barnabe,true
881,Skipfire,Babbleset,Ranice,true
882,Flipbug,Flashpoint,Helaina,true
883,Jabbertype,Vipe,Katrine,true
884,Roomm,Eire,Norina,false
885,Edgeify,Rhyzio,Reg,false
886,Browsezoom,Jamia,De,false
887,Mynte,Brainlounge,Jerrold,true
888,Youbridge,Divape,Valentin,false
889,Thoughtbridge,Skipfire,Elizabeth,true
890,Browsetype,Babblestorm,Aaron,false
891,Ooba,Buzzshare,Westley,true
892,Dabfeed,Tazz,Chuck,false
893,Lajo,Topiczoom,Brett,true
894,Zazio,Yotz,Hilde,true
895,Izio,Photolist,Celine,true
896,Skinder,Agivu,Lil,true
897,Oyoba,Shufflester,Grier,true
898,Photojam,Livepath,Kellby,true
899,Skidoo,Oloo,Carmela,false
900,Jabbercube,Dabjam,Keeley,false
901,Devpoint,Roomm,Tera,true
902,Fliptune,Jaxworks,Amaleta,true
903,Dabjam,Babblestorm,Ruperto,false
904,Minyx,Skaboo,Courtnay,true
905,Flipopia,Photospace,Felisha,true
906,Twitterwire,Tambee,Ivette,false
907,Feedfire,Bluezoom,Teresa,true
908,Gigabox,Vipe,Walt,true
909,Skyble,Flashspan,Virge,false
910,Realbuzz,Photobean,Pace,true
911,Photolist,Tambee,Rosalyn,false
912,Bubblebox,Roomm,Nyssa,false
913,Jabbercube,Vidoo,Gene,false
914,Jabberstorm,Skilith,Ronny,false
915,Ooba,Aibox,Ailbert,true
916,Aimbo,Linklinks,Roberto,false
917,Browseblab,Babbleset,Lotti,false
918,Voomm,Yakidoo,Wilfred,true
919,Riffpath,Yodoo,Burtie,true
920,Tagopia,Blogtags,Cyndie,false
921,Browsecat,Podcat,Sutherland,false
922,Thoughtbridge,Photolist,Elladine,false
923,Photospace,Linklinks,Matthiew,true
924,Dynabox,Skipstorm,Martita,false
925,Oyoloo,Dabtype,Patsy,false
926,Roodel,Skibox,Hobey,true
927,Yozio,Shufflebeat,Becki,true
928,Eidel,InnoZ,Armstrong,true
929,Zoonder,Mybuzz,Lindsey,true
930,Skimia,Cogibox,Costanza,false
931,Tazz,Zoomcast,Archibald,true
932,Gabtype,Cogibox,Constanta,true
933,Yambee,Cogibox,Jamesy,true
934,Photojam,Centimia,Grete,false
935,Kwimbee,Muxo,Leonardo,false
936,Youspan,Edgewire,Osmond,false
937,Twiyo,Aibox,Wyn,true
938,Quinu,Brainbox,Sterne,true
939,Zooveo,Agimba,Beltran,false
940,Aibox,Shuffledrive,Sandi,true
941,Cogibox,Photobug,Barbara-anne,true
942,LiveZ,Oozz,Alvinia,true
943,Plambee,Flashset,Amory,true
944,Skibox,Dabshots,Norry,true
945,Oyondu,Vipe,Marnie,false
946,Eayo,Ntag,Nicol,false
947,Youbridge,Wikido,Erroll,false
948,Leexo,Rhycero,Corie,false
949,Babblestorm,Edgeify,Erny,true
950,Voonyx,Linkbridge,Lanny,true
951,Fatz,DabZ,Robin,false
952,Browsedrive,Thoughtsphere,Cloris,false
953,Jabbersphere,Flashdog,Lalo,false
954,Bluejam,Zazio,Zarah,true
955,Tavu,Riffwire,Oriana,true
956,Rhynoodle,Reallinks,Cort,false
957,Camimbo,Skiba,Kippar,true
958,Meeveo,Demizz,Gianni,false
959,Oba,Twitterwire,Al,true
960,Quatz,Muxo,Deedee,false
961,Fatz,Brainbox,Loretta,true
962,Wordware,Yamia,Tara,true
963,Centidel,Jaloo,Lou,false
964,Browsebug,Eayo,Jandy,false
965,Trilith,Yodo,Toinette,true
966,Ozu,Topiczoom,Russ,true
967,Rhyloo,Bluejam,Saunder,false
968,BlogXS,Jayo,Urbain,false
969,Camimbo,Yacero,Mill,false
970,Blogtag,Meevee,Sheelah,true
971,Aibox,Tambee,Penelopa,true
972,Meevee,Gigazoom,Celinda,false
973,Skinix,Tazz,Valida,false
974,Gabtune,Quimba,Ford,false
975,Eamia,Quinu,Malinda,false
976,Blogspan,Skyba,Lorelei,true
977,Vimbo,Reallinks,Damian,true
978,Meembee,Miboo,Arluene,false
979,Vinte,Rhyzio,Carmelita,true
980,Ozu,Yotz,Karolina,true
981,Pixope,Photobug,Trish,false
982,Flipstorm,Brightdog,Caty,false
983,Cogidoo,Dynabox,Alysa,true
984,Realmix,Topiczoom,Baudoin,true
985,Browsezoom,Aibox,Jasen,true
986,Vitz,Devify,Florence,true
987,Skyble,Tekfly,Karine,true
988,Oodoo,Tekfly,Bartel,false
989,Oyondu,Yakijo,King,false
990,Topicware,Blogpad,Robert,true
991,Digitube,Mybuzz,Shelton,true
992,Shufflebeat,Brainlounge,Wallie,true
993,Youopia,Katz,Leigha,false
994,Realbuzz,Browsebug,Lucius,false
995,Eayo,Tekfly,Pip,false
996,Digitube,Edgetag,Dag,true
997,Wordify,Wikizz,Samaria,false
998,Quimm,Livepath,Ludovika,false
999,Feedspan,Meezzy,Flor,true
1000,Tazz,Viva,Camella,false
